Exchange,Type,Volume,TVL,OI,Token,Market Cap,FDV,Pairs,Date,Founder,Property,Backers,Censorship Risk,Collateral,DA Layer,Escape Hatch,Execution Env.,Feature Set,Hard Finality,Last edited time,Leverage,MM Structure,Maker Fees,Margin System,Mobile,New,Proof System,Scaling Tech,Security Model,Settlement Layer,Soft Finality,Speed,Spread,Taker Fees,Tech,Throughput,Users,Warning,cg_deriv_id,cg_id,custom_api_oi,custom_api_tvl,custom_api_volume,defillama id,defillama num id
Ostium,dex,"$15,920,150.00","$47,066,348.42","$62,067,438.67",,,,18,,Marco Antonio Ribeiro,https://ostium.app/trade?from=CL&to=USD&ref=YTBYB,"Balaji Srinivasan, General Catalyst, LocalGlobe, Susquehanna International Group",,USDC,,N/A,On-Chain,"Commodities, FX, MACRO, Vaults",13 minutes,"August 4, 2025 1:24 PM",200x,OLP : 14%,0%,Isolated Margin,Webapp,🔥,,No,,Arbitrum,1500ms,mid,,0.1%,Arbitrum,20 txn/sec,,,,,https://github.com/0xOstium/ostium-python-sdk/blob/main/ostium_python_sdk/subgraph.py,,,ostium,4932
Satori Finance,dex,"$206,790,023.00","$2,395,919.31","$3,370,000.00",S2,,,52,,George Wu,https://trade.satori.finance/?referralCode=URC9O5,"Blockchange, Coinbase Ventures, DI Ventures, Jump Crypto, Polychain Capital, Polygon, Portal, Sandeep Nailwal",,USDC,,,On-Chain,,,"August 4, 2025 1:24 PM",25x,,0.05%,Isolated Margin,Webapp,🔥,,No,,Arbitrum,,mid,,0.08%,Arbitrum,20 txn/sec,,Low OI,,,,,,satori-perp,2982
ApeX Protocol,dex,"$399,301,134.00","$21,832,614.96","$50,732,836.79",APEX,"$34,036,249.00","$138,519,063.00",48,,Eugene Zhu Yuchen,https://omni.apex.exchange/referral?code=1M66499L,"CyberX, Jump Trading, Kronos, M77, Mirana Ventures, Tiger Global Management",,USDC,,N/A,On-Chain,"MM Vault, Spot, User Vaults",13 minutes,"August 4, 2025 1:24 PM",50x,Protocol Vault,0%,Cross margin,Webapp,,,No,,Arbitrum,1500ms,mid,,0.025%,Arbitrum,20 txn/sec,,,ApeX Omni,apex-token-2,,,,apex-protocol,4822
KiloEx,dex,"$17,494,876.00","$8,463,447.11",,KILO,"$4,465,444.00","$21,093,262.00",134,,Joey Ni,https://app.kiloex.io/,"7upDao, Foresight Ventures, Manta Network, Poolz Ventures, YZi Labs",,USDC,,,,,,"August 4, 2025 1:24 PM",100x,,0.07%,Cross margin,Webapp,,,No,,,,,,0.07%,opBNB,4000 txn/sec,,,,kiloex,,,,kiloex,3329
Lighter(Invite Only),dex,"$4,081,396,267.36","$200,158,765.38","$220,768,706.59",,,,56,,https://x.com/vnovakovski,https://app.lighter.xyz/,"A16Z, Lightspeed",Centralized Sequencer,USDC,Ethereum(Blobs),Yes (via Ethereum),ZK-verified Matcher,MM Vault,13 minutes,"August 4, 2025 1:24 PM",50x,LLP : +57% apr,0%,Cross margin,Webapp,🔥,zk-SNARK,Yes,ZK-Rollup Security,Ethereum,5ms,fast,,0%,ZK ETH Appchain,"10,000 orders/sec",,,,,https://lightlens.zeabur.app/summary,,https://lightlens.zeabur.app/summary,lighter-v2,6042
Paradex,dex,"$70,384,032.00","$55,876,580.22","$75,507,756.58",,,,62,,Anand Gomes,https://app.vertexprotocol.com?referrer=hansolar,Paradigm.co,Centralized Matcher,USDC,Starknet → Ethereum,Yes (via Starknet L2),Off-chain Sequencer,"Perpetual Options, Vaults",5 hours,"August 4, 2025 1:24 PM",20x,PLP : 20%,0%,Cross margin,Webapp,🔥,zk-STARK,Yes,Multi-layer ZK,Starknet → Ethereum,200ms,fast,,0.02%,https://starkware.co/blog/paradex-starknets-first-appchain/,High,,,Paradex,,,,,paradex,3648
Extended,dex,"$66,851,814.00","$33,181,737.43","$50,696,723.74",,,,56,,Ruslan Fakhrutdinov,http://app.extended.exchange/join/HANSOLAR,Revolut,,USDC,,,,"FX, MM Vault",13 minutes,"August 4, 2025 1:24 PM",50x,ELP : 22% apr,0%,Portfolio margin,No,🔥,,Yes,,,10ms,fast,,0.025,https://extended.exchange/blog/why-stark-ex(https://docs.extended.exchange/starknet-migration/rationale-and-vision),,,,,,"https://t.co/L8etnpRJzB ",,,extended,5887
Hyperliquid,dex,"$7,117,802,474.00","$4,435,887,115.89","$10,879,863,957.19",HYPE,"$12,859,910,499.00","$38,522,562,765.00",180,,https://x.com/chameleon_jeff,https://app.hyperliquid.xyz/join/HANSOLAR,Self-funded,Validator Collusion,USDC,Self,No (L1 Native),On-chain (HyperCore),"EVM, MM Vault, Spot, User Vaults",70ms,"August 4, 2025 1:24 PM",40x,HLP : 15% apr,0.01%,"Cross margin, Isolated Margin",Webapp,,N/A,Yes,Sovereign PoS,Self,70ms,fast,,0.045%,Custom L1 Blockchain,"200,000 orders/sec",,,Hyperliquid (Futures),hyperliquid,,https://api.llama.fi/protocol/hyperliquid-bridge,,hyperliquid,5507
SynFutures,dex,"$72,582,888.00","$9,257,253.66","$49,981,034.34",F,"$17,144,048.00","$80,846,512.00",25,,Rachel Lin,https://oyster.synfutures.com/#/trade/base,"Bybit, CMS Holdings, Dragonfly Capital, Framework Ventures, Hashkey Capital, IOSG Ventures, Kronos, Pantera Capital, Polychain Capital, Standard Crypto, Susquehanna International Group, Wintermute",,USDC,,N/A,On-Chain,Spot,13 minutes,"August 4, 2025 1:24 PM",33x,,-0.01%,Isolated Margin,Webapp,,,No,,Base,1500ms,mid,,0.02%,Base,13 txn/sec,,Low OI,SynFutures,synfutures,,,,synfutures,4215
Variational(Closed Beta),dex,"$9,070,000.00",,"$4,120,000.00",,,,519,,http://x.com/variational_lvs and https://x.com/mr_plumpkin,Perpetual%20Pulse%202450ef85b75880119955e717812a189b/perpetualpulse%20xyz%202450ef85b7588165925de524ef9a8771/Variational(Closed%20Beta)%202450ef85b758817cbde4eb02e336230e.md,"Bain Capital Crypto, Caladan, Coinbase Ventures, Dragonfly Capital, Hack VC, Mirana Ventures, North Island Ventures, Peak XV Partners, Self-funded, Zoku Ventures",,USDC,,,On-Chain,,13 minutes,"August 4, 2025 1:24 PM",50x,Internal Market Making Desk,0%,Portfolio margin,No,🔥,,No,,,275ms,mid,,0%,Arbitrum,50 txn/sec,,,,,,,,,
Vertex Edge,dex,,,,VRTX,"$158,515.00","$300,011.00",111,,Alwin Peng,https://app.vertexprotocol.com?referrer=hansolar,"Arbitrum Foundation, Big Brain Holdings, Dexterity Capital, GSR, HRT Ventures, HTX Vertures, Hack VC, JST Capital, Jane Street Capital, RNR Capital, Wintermute",Centralized Matcher,"ARB, ETH, USDC, USDT, WBTC",Respective Chain,N/A,Off-chain Sequencer,"Spot, Vaults",13 minutes,"August 4, 2025 1:24 PM",20x,,0%,Cross margin,Webapp,,None,Yes,,"Respective Chain(Arbitrum, Sei, Blast, etc)",1500ms,fast,,0.03%,https://blog.vertexprotocol.com/vertex-edge-a-unichain-for-perps/,,,Defunct,,vertex-protocol,,,,,
Jupiter,dex,"$525,946,134.00","$2,444,161,885.89","$465,108,300.00",JUP,"$1,466,938,998.00","$3,357,256,542.00",3,,Meow(Anon),https://jup.ag/,Self-funded,,ANY,,N/A,On-Chain,"SOL Staking, Spot",12500ms,"August 4, 2025 1:24 PM",100x,JLP : 10.89% apr,0.06%,Isolated Margin,Webapp,,,No,,Solana,600ms,mid,,0.06%,Solana,"2,500 txn/sec",,,,jupiter-exchange-solana,https://community.chaoslabs.xyz/jupiter/risk/overview,,,jupiter,4077
dYdX,dex,"$225,287,092.00","$305,081,765.53","$170,747,684.37",dYdX,"$432,532,691.00","$547,031,593.00",232,,Antonio Juliano,https://dydx.trade/?ref=BriefLaw2AT,"1confirmation, A16Z, Bain Capital Crypto, CMS Holdings, Defiance Capital, Delphi Ventures, Dragonfly Capital, Electric Capital, Hashkey Capital, Paradigm, Polychain Capital, QCP Capital, Wintermute",Validator Collusion,USDC,Self,No (L1 Native),Off-chain (Validators),MM Vault,1000ms,"August 4, 2025 1:24 PM",20x,MegaVaults : 15%,0.02%,"Cross margin, Isolated Margin",Native,,N/A,Yes,Decentralized Appchain,Self,1000ms,fast,,0.05%,Cosmos-based L1 Appchain,"2,000 orders/sec",,,dYdX Chain,dydx-chain,,,,dydx,4067
